category,item,description,price,special_price,badge,available,photo_url
Poundcake,Oreo Cookies & Cream Poundcake,,5,,,,
Chewies,Traditional Chewies (w/ Nuts),,9,5,This Week's Special,TRUE,
Chewies,Maple Butter Pecan Chewy,,9,,,TRUE,
Chewies,Snickerdoodle Chewy,,9,,,TRUE,
Puddings & Parfaits,Key Lime Crunch Cheesecake Parfait,,9,,,TRUE,
Puddings & Parfaits,Lemon Crunch Cheesecake Parfait,,9,,,TRUE,
Puddings & Parfaits,Strawberry Crunch Cheesecake Parfait,,9,,,TRUE,
Puddings & Parfaits,Strawberry Lemon Crunch Cheesecake Parfait,,9,,,TRUE,
Puddings & Parfaits,Banana Pudding with Wafers,,9,,,TRUE,
Puddings & Parfaits,Banana Pudding with Chessman,,9,,,TRUE,
Puddings & Parfaits,Strawberry Banana Pudding w/ Chessman,,9,,,TRUE,
Puddings & Parfaits,Biscoff Cookie Pudding,,9,,,TRUE,
Brownies & Bars,Brownies w/ Nuts,,7,,,TRUE,
Brownies & Bars,Turtle Brownies,,8,,,TRUE,
Brownies & Bars,Slutty Brownies,,9,,,TRUE,
Drinks,Strawberry Lemonade,,6,,,TRUE,
Drinks,Blackberry Lemonade,,6,,,TRUE,
Drinks,Pineapple Mango Lemonade,,6,,,TRUE,
Drinks,Blue Raspberry Lemonade,,6,,,TRUE,
Drinks,Peach Lemonade,,6,,,TRUE,
Drinks,Dragonfruit Lemonade,,6,,,TRUE,
Drinks,Island Punch,,6,,,TRUE,
